,SLNO,PL No.,DESCRIPTION,TAGS
0,1,11020179,Suspension motor nose holder with sandwitch mounting,"['suspension', 'motor', 'nose', 'holder', 'with', 'sandwitch', 'mounting']"
1,2,11020416,SAFETY BRACKET EQUALIGING BEAM,"['safety', 'bracket', 'equaliging', 'beam']"
2,3,11020453,SLACK ADJUSTER UPPER,"['slack', 'adjuster', 'upper']"
3,4,11020519,EQUALISER LINKAGE WITH BUSHING,"['equaliser', 'linkage', 'with', 'bushing']"
4,5,11020544,ADJUSTER SLACK LONG ASSLY (WEDER HORN TRUCK BOTTOM),"['adjuster', 'slack', 'long', 'assly', 'weder', 'horn', 'truck', 'bottom']"
5,6,11020568,HANGER LEVER,"['hanger', 'lever']"
6,7,11020581,HANGER INSIDE FOR BRAKE FOUNDATION (BG),"['hanger', 'inside', 'for', 'brake', 'foundation', 'bg']"
7,8,11020600,HANGER ASSLY BRAKE FOUNDATION OUT SIDE,"['hanger', 'assly', 'brake', 'foundation', 'out', 'side']"
8,9,11020611,EQUALISER SLACK ADJUSTER PIN,"['equaliser', 'slack', 'adjuster', 'pin']"
9,10,11020623,TIE BAR FOR BRAKE FOUNDATION WDM2,"['tie', 'bar', 'for', 'brake', 'foundation', 'wdm2']"
10,11,11026248,Rubber Buffer Pad DLW PT No.11026248,"['rubber', 'buffer', 'pad', 'dlw', 'pt', 'no', '11026248']"
11,12,11029869,"LINKAGE EQULISER WITH BUSHING FOR BRAKE FOUNDATION FOR WDG3A LOCOS, DLW DRG","['linkage', 'equliser', 'with', 'bushing', 'for', 'brake', 'foundation', 'for', 'wdg3a', 'locos', 'dlw', 'drg']"
12,13,11029973,"SLACK ADJUSTER ASSEMBLY TOP , WDG3A","['slack', 'adjuster', 'assembly', 'top', 'wdg3a']"
13,14,11030227,HIGH TENSILE CENTRE BUFFER COUPLER ASSLY,"['high', 'tensile', 'centre', 'buffer', 'coupler', 'assly']"
14,15,11030434,"15 KJ High Capacity Loco Side Buffer Assembly RDSO Drg No.SKDL 4561 Alt-1,RDSO Spec","['15', 'kj', 'high', 'capacity', 'loco', 'side', 'buffer', 'assembly', 'rdso', 'drg', 'no', 'skdl', '4561', 'alt', '1', 'rdso', 'spec']"
15,16,11032091,MODIFIED TRANSITION SCREW COUPLING FOR WDM2 LOCO,"['modified', 'transition', 'screw', 'coupling', 'for', 'wdm2', 'loco']"
